Date,Close,High,Low,Open,Volume
2025-01-02,135.81,136.95,135.32,136.45,8973000
2025-01-03,137.14,137.52,135.94,136.08,8288700
2025-01-06,137.2,138.21,136.74,137.08,8653300
2025-01-07,137.88,139.08,137.53,137.53,12639700
2025-01-08,138.59,138.8,136.87,138.14,7827400
2025-01-10,137.81,139.1,137.52,138.12,10343700
2025-01-13,139.61,139.96,137.84,137.96,9422200
2025-01-14,138.17,139.42,137.06,139.42,10277800
2025-01-15,138.73,139.39,137.94,138.55,11388400
2025-01-16,139.28,139.49,137.75,138.29,8512100
2025-01-17,138.34,139.55,138.34,139.09,7668100
2025-01-21,140.63,140.64,139.05,139.07,7257800
2025-01-22,140.32,140.76,139.28,139.94,8189900
2025-01-23,142.19,142.21,140.01,140.7,8032900
2025-01-24,142.42,142.72,141.39,141.56,8127900
2025-01-27,145.62,145.65,143.07,143.2,12311300
2025-01-28,144.6,145.8,144.56,145.61,9686400
2025-01-29,143.75,144.66,143.4,144.18,8159100
2025-01-30,145.41,145.81,144.32,144.33,7705200
2025-01-31,144.95,146.64,144.9,145.65,9211800
2025-02-03,145.51,146.22,144.03,144.07,13001500
2025-02-04,145.11,145.27,143.68,143.91,11762000
2025-02-05,146.51,146.77,145.17,145.47,10042300
2025-02-06,145.19,146.52,144.98,146.21,12422100
2025-02-07,144.51,145.98,144.4,145.4,11199700
2025-02-10,144.38,144.73,143.55,144.68,7374300
2025-02-11,144.12,144.4,143.53,143.97,6634900
2025-02-12,143.91,144.69,143.47,143.77,7572200
2025-02-13,144.47,144.79,143.26,144.2,6293100
2025-02-14,142.9,144.78,142.9,144.58,5299200
2025-02-18,142.63,142.99,141.96,142.03,11366800
2025-02-19,144.48,144.52,142.61,142.64,6295900
2025-02-20,145.29,145.37,144.19,144.27,6264800
2025-02-21,144.51,145.21,143.44,143.57,8647000
2025-02-24,145.69,146.28,144.35,144.67,7559400
2025-02-25,146.94,147.14,145.48,145.96,11981300
2025-02-26,145.88,147.0,145.42,146.37,6566800
2025-02-27,145.29,146.96,145.23,145.62,7377000
2025-02-28,146.98,147.21,144.57,145.53,8453700
2025-03-03,147.62,148.35,147.01,147.07,9459300
2025-03-04,146.25,148.1,146.03,147.83,10804700
2025-03-05,147.72,147.95,145.31,145.59,7597700
2025-03-06,147.31,147.52,145.99,147.05,7122200
2025-03-07,147.32,148.31,146.51,146.71,8532400
2025-03-10,145.74,147.95,145.41,146.18,13577800
2025-03-11,144.15,145.95,143.39,145.75,9411600
2025-03-12,142.71,144.08,142.23,143.82,7141100
2025-03-13,141.95,143.17,141.61,142.76,8041600
2025-03-14,143.03,143.25,141.53,142.04,6761200
2025-03-17,144.85,145.18,142.82,142.82,6017300
2025-03-18,144.92,145.13,144.13,144.9,5528000
2025-03-19,145.0,145.38,143.99,145.02,6156200
2025-03-20,145.08,145.71,144.59,145.02,8033800
2025-03-21,144.68,144.94,143.82,144.66,7635300
2025-03-24,145.78,146.02,144.75,145.06,6500600
2025-03-25,143.92,146.22,143.01,146.13,6502000
2025-03-26,143.4,144.62,143.05,144.03,8758600
2025-03-27,143.62,144.07,143.12,143.18,6264300
2025-03-28,143.18,143.89,143.11,143.51,6210500
2025-03-31,144.65,145.26,142.15,142.46,8085600
2025-04-01,142.01,144.13,141.57,144.13,9906100
2025-04-02,142.96,143.06,140.87,141.44,6392700
2025-04-03,141.8,143.84,141.72,142.43,10990600
2025-04-04,134.02,140.39,133.97,139.83,21341100
2025-04-07,133.22,136.09,128.46,130.49,29940300
2025-04-08,131.75,138.15,130.06,138.14,20860400
2025-04-09,137.47,137.95,128.48,128.92,39444700
2025-04-10,133.64,136.46,130.11,136.42,21957400
2025-04-11,135.6,136.48,132.41,133.9,10755600
2025-04-14,137.25,137.75,135.69,136.93,7437200
2025-04-15,136.41,137.75,136.02,137.71,6239000
2025-04-16,135.02,137.33,134.38,136.84,8150700
2025-04-17,134.23,135.3,133.85,134.08,9662800
2025-04-21,131.34,134.1,130.34,133.94,6456000
2025-04-22,133.81,134.02,131.9,132.4,8012500
2025-04-23,134.47,136.65,133.88,135.27,9503200
2025-04-24,136.11,136.26,133.87,134.69,5433000
2025-04-25,136.77,136.92,134.62,136.31,6438400
2025-04-28,137.31,137.75,136.12,136.96,5803300
2025-04-29,137.99,138.67,136.45,137.14,7811900
2025-04-30,139.17,139.48,136.98,138.25,6827800
2025-05-01,135.37,137.82,135.2,137.52,10363200
2025-05-02,137.24,137.72,136.27,137.5,9777000
2025-05-05,136.86,137.39,136.3,136.97,5479700
2025-05-06,133.08,135.92,132.73,135.86,11625900
2025-05-07,134.1,134.49,133.15,133.5,6417500
2025-05-08,132.89,134.07,132.45,133.16,10558100
2025-05-09,131.45,133.52,131.39,133.06,7555200
2025-05-12,134.7,134.87,131.41,131.65,15211100
2025-05-13,130.65,132.7,130.61,132.7,17817000
2025-05-14,127.57,131.32,127.49,131.05,19579500
2025-05-15,129.25,129.33,126.17,127.28,18792700
2025-05-16,131.85,131.9,129.1,129.49,12901800
2025-05-19,133.12,133.19,131.42,131.79,11645200
2025-05-20,133.45,133.84,132.94,133.15,11644500
2025-05-21,130.36,132.89,130.3,132.32,16635900
2025-05-22,129.34,130.02,128.77,129.42,12722600
2025-05-23,129.13,129.39,128.35,128.72,9127100
2025-05-27,130.93,131.16,129.94,130.21,12304000
2025-05-28,130.26,131.35,129.91,130.88,11087500
2025-05-29,131.13,131.53,130.07,130.46,10670300
2025-05-30,131.41,132.1,129.67,130.84,11651300
2025-06-02,131.49,131.55,129.89,131.07,11845000
2025-06-03,131.8,132.28,130.51,131.14,14304300
2025-06-04,132.05,133.08,132.05,132.19,9986100
2025-06-05,131.87,132.67,131.34,132.38,13705000
2025-06-06,133.13,133.59,132.55,132.57,9153500
2025-06-09,132.9,133.56,132.15,133.1,9976600
2025-06-10,134.42,134.83,133.0,133.02,11488000
2025-06-11,134.49,135.3,134.08,134.45,13644000
2025-06-12,135.54,135.57,134.23,134.5,9809500
2025-06-13,134.87,136.06,134.42,134.8,13722800
2025-06-16,134.45,135.56,133.83,135.15,14171000
2025-06-17,132.23,134.15,132.05,133.85,13506000
2025-06-18,132.0,132.88,131.26,132.24,12185300
2025-06-20,131.37,132.56,131.18,132.46,13744900
2025-06-23,131.56,132.14,130.38,131.46,14181600
2025-06-24,133.17,133.47,131.4,131.91,11272900
2025-06-25,133.29,133.68,132.17,132.91,11996400
2025-06-26,133.61,134.54,133.14,133.57,13177700
2025-06-27,133.32,134.51,133.09,133.71,13818500
2025-06-30,134.18,134.34,133.19,133.29,12407700
2025-07-01,136.09,137.13,133.85,133.97,21204300
2025-07-02,134.74,135.67,134.62,135.41,13720400
2025-07-03,134.88,135.28,134.55,134.93,7282700
2025-07-07,133.75,134.83,133.04,134.83,14052300
2025-07-08,134.36,135.6,133.4,133.65,19485900
2025-07-09,134.87,135.3,133.81,134.63,13963900
2025-07-10,135.7,137.0,134.39,134.89,17668300
2025-07-11,134.57,135.26,133.74,135.26,14246600
2025-07-14,134.42,134.69,133.79,134.04,11095400
2025-07-15,132.0,134.85,131.87,134.61,17095600
2025-07-16,133.64,133.81,132.39,132.53,14142100
2025-07-17,132.12,133.07,131.68,132.68,15740900
2025-07-18,131.24,132.63,131.06,132.46,13245500
